v_id,cause,effect,query_text,core_query,intuition,intuition_source,notes,HP01,HP01_source,HP05,HP05_source,HP15,HP15_source,H01,H01_source,H07,H07_source,Hall,Hall_source,Baumgartner13,Baumgartner_source,AG24,AG24_source,G21,G21_source,BV18,BV18_source
simple_voting,A=1 and B=1 and C=1,F=1,,,1,subset of voters,,0,Halpern 2015,0,Halpern 2015,1,Halpern 2015 (? - unclear if applied to variation with third candidate),,,,,,,,,,,,,,
engineer1,F=1,A=1,Is flipping the switch a cause for the train's arrival?,,0,,,0,Halpern 2015,0,Halpern 2015,0,Halpern 2015,,,,,,,,,,,,,,
engineer1,F=1,T=1,Is flipping the switch a cause for the train going down the right track?,,1,,,,,,,,,,,,,,,,,,,,,,
engineer1,T=1,A=1,Is the train going down the right track a cause for the train's arrival?,,1,,,,,,,,,,,,,,,,,,,,,,
engineer2,F=1,A=1,Is flipping the switch a cause for the train's arrival?,,0,,,1,Halpern 2015,1,Halpern 2015,0,Halpern 2015,,,,,,,,,,,,,,
engineer3,F=1,A=1,Is flipping the switch a cause for the train's arrival?,,0,,,1,Halpern 2015,1,Halpern 2015,1,Halpern 2015,,,,,,,,,,,,,,
careful_poisoning,A=1,D=0,,,0,,,1,Halpern 2015,1,Halpern 2015,1,Halpern 2015,,,,,,,,,,,,,,
voting_machine,V1=1,P=1,,,1,Weslake,,1,HP 2005,1,HP 2005,0,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
voting_machine,V2=1,P=1,,,1,Weslake,,1,HP 2005,1,HP 2005,0,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
voting_machine,V1=1 and V2=1,P=1,,,0,Halpern 2015,,0,Halpern 2015 (sic: probably means P instead of M),0,Halpern 2015 (sic: probably means P instead of M),1,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
two_paths,A=1,D=1,,,1,but-for,,1,Halpern 2015,1,Halpern 2015,1,Halpern 2015,0,Halpern 2015,,,,,,,,,,,,
putin_watering,F=0,E=1,,,0,AG24,,,,,,,,,,,,,,1,AG24,0,AG24,,,,
putin_watering,C=1,E=1,,,1,AG24,,,,,,,,,,,,,,1,AG24,1,AG24,,,,
neighbor_watering,F=0,E=1,,,1,AG24,,,,,,,,,,,,,,1,AG24,1,AG24,,,,
neighbor_watering,C=1,E=1,,,1,AG24,,,,,,,,,,,,,,1,AG24,1,AG24,,,,
plant_watering,B=0,D=1,Does Billy not watering the plant cause it to die?,,1,HP2005,,1,,1,,1,,,,,,,,,,,,,,,
plant_watering,P=0,D=1,Does Putin not watering the plant cause it to die?,,0,HP2005,,1,,1,,1,,,,,,,,,,,,,,,
boulder,F=1,E=0,Does the boulder's dislodgement cause the hiker's survival?,,0,AG24,,,,,,,,,,,,,,,,,,,,,
boulder,D=1,E=0,Does the hiker ducking cause the hiker's survival?,,1,AG24,,,,,,,,,,,,,,,,,,,,,
ext_dp,F=1,E=1,,,0,"AG24, Paul 2013",,,,,"Hall 2007, p. 120",,,,"Hall 2007, p. 120",,,0,"AG24, citing Paul 2013 p.216",0,"AG24, p.21",0,AG24,,,,
ext_dp,A=1,E=1,,,1,but-for,,,,,"Hall 2007, p. 120",,,,"Hall 2007, p. 120",,,,,1,"AG24, p.21",1,AG24,,,,
ext_dp,C=1,E=1,,,1,AG24,,,,,"Hall 2007, p. 120",,,,"Hall 2007, p. 120",,,,,0,"AG24, p.21",1,AG24,,,,
mod_ext_dp,F=1,E=1,,,0,AG24,,,,,,,,,,,,0,"AG24, citing Paul 2013 p.199",1,"AG24, p.22",0,AG24,,,,
mod_ext_dp,A=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
mod_ext_dp,C=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
mod_ext_dp,D=0,E=1,,,0,AG24,,,,,,,,,,,,,,,,0,AG24,,,,
iso_mod_ext_dp,C=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
iso_mod_ext_dp,H=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
iso_mod_ext_dp,D=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
iso_mod_ext_dp,A=1,E=1,,,1,AG24,,,,,,,,,,,,,,,,1,AG24,,,,
backup_assassin,T=1,V=1,,,1,Weslake,,,,,,,,,,,,,,,,,,,,,
backup_assassin,S=0,V=1,,,0,Weslake,,,,,,,,,,,,,,,,,,,,,
double_prevention,C=1,E=1,Does Suzy flying plane towards bombing site cause the bombing to take place?,,1,,,,,1,HP 2015 (but different model),,,,,,,,,,,,,,,,
double_prevention,D=1,E=1,Does Billy shooting down Enemy cause the bombing to take place?,,1,,,,,1,HP 2015 (but different model),,,,,,,,,,,,,,,,
double_prevention_hall,C=1,E=1,,,1,,,,,1,"Hall 2007, p. 119",,,1,"Hall 2007, p. 119",,,,,,,,,,,,
double_prevention_hall,A=1,E=1,,,1,,,,,,,,,,,,,,,,,,,,,,
non_existent_threat,C=1,E=1,,,0,,,,,1,"Hall 2007, p. 120",,,0,"Hall 2007, p. 120",,,,,,,,,,,,
backup_threat_canceling,C=1,E=1,,,1,"Hall 2007, p. 128",,,,0,"Hall 2007, p. 128",,,,,,,,,,,,,,,,
affecting,B=1,D=2,Does the weak antidote cause the painless death of the victim?,0,1,,"contrastive: causes C=2 rather than C=1, but not C=2 rather than C=0",,,,,,,,,,,,,,,,,,,,
counterexample_transitivity,A=1,D=0,Does the assassin's putting in the poison cause the victim's survival?,,0,,,,,,,,,,,,,,,,,,,,,,
counterexample_transitivity,B=1,D=0,Does the bodyguard's putting in the antidote cause the victim's survival?,,1,,,,,1,,,,,,,,,,,,,,,,,
april_rains,A=1,F=2,Did the April rains cause the forest fire in June?,,1,,contrastive solution needed,,,0,"HP2005 (is not cause of F, but cause of F=2 rather than F=1)",,,,,,,,,,,,,,,,
rock_bottle_time,ST=1,BS3=1,,0,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
rock_bottle_time,BT=1,BS3=1,,,0,HP2005,,,,0,HP2005,,,,,,,,,,,,,,,,
monday_treatment,M=1,B=0,Is the treatment on Monday a cause for Billy's medical condition on Tuesday?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
monday_treatment_omission,M=0,B=1,Is the omitted treatment on Monday a cause of Billy's sickness on Tuesday?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
monday_treatment_deadly,M=1,B=0,Is the Monday treatment a cause of Billy being healthy Tuesday and Wednesday morning?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
monday_treatment_deadly,M=1,T=0,Is the Monday treatment a cause of the Tuesday treatment not being administered?,,1,HP2005,need contrastive / disjunctive effects,,,1,HP2005,,,,,,,,,,,,,,,,
rock_bottle_noisy,ST=1,BS3=1,Does Suzy's throw cause the bottle's shattering?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
rock_bottle_noisy,BT=1,BS3=1,Does Billy's throw cause the bottle's shattering?,,0,HP2005,,,,0,HP2005,,,,,,,,,,,,,,,,
rock_bottle_noisy,N=1,BS15=1,Is the noise a cause for the bottle shattering at time 1.5?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
rock_bottle_noisy,N=1,BS3=1,Is the noise a cause for the bottle being shattered at time 3?,,0,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
fred_finger,FS=1,FF=1,Is Fred's finger being severed a cause of his finger functioning properly a month later?,,0,HP2005,,,,0,HP2005,,,,,,,,,,,,,,,,
larry_loanshark,FS=1,FF=1,Is Fred's finger being severed a cause of his finger functioning properly a month later?,,1,HP2005,,,,1,HP2005,,,,,,,,,,,,,,,,
command_trumping,M=1,C=1,Is the major's command a cause for the corporal charging?,,1,Weslake,,,,1,HP2005,,,,,,,,,,,,,,,,
command_trumping,S=1,C=1,Is the sergeant's command a cause for the corporal charging?,,0,Weslake,different intuitions,,,1,HP2005,,,,,,,,,,,,,,,,
window_wall,C=1,S=0,Does the fielder’s catch cause the window to remain unbroken?,,0,HP2005,different intuitions,,,,,,,,,,,,,,,,,,,,
shock,A=1,C=1,Is A flipping the switch a cause of C getting shocked?,,0,Weslake,,,,,,,,,,,,,,,,,,,,,
shock,B=1,C=1,Is B flipping the switch a cause of C getting shocked?,,1,Weslake,,,,,,,,,,,,,,,,,,,,,
fancy_lamp,A=2,L=1,,,0,Weslake,,0,Halpern 2015,0,Halpern 2015,0,Halpern 2015,,,,,,,,,,,,,,
fancy_lamp,B=0,L=1,,,1,Weslake,,1,Halpern 2015,1,Halpern 2015,1,Halpern 2015,,,,,,,,,,,,,,
fancy_lamp,C=0,L=1,,,1,Weslake,,1,Halpern 2015,1,Halpern 2015,1,Halpern 2015,,,,,,,,,,,,,,
marksman_omission,B=0,D=0,Is B not lifting the barrel a cause of the bullseye being missed?,,1,Glymour,,,,,,,,,,,,,,,,,,,,,
marksman_omission,A=1,D=0,Is A firing at the target a cause of the bullseye being missed?,,1,Glymour,,,,,,,,,,,,,,,,,,,,,
unloaded_gun,D=0,C=0,Is the gun not being cocked a cause of the victim surviving?,,1,Glymour,,,,,,,,,,,,,,,,,,,,,
safe_gun,H=0,F=0,Does the hammer not being cocked cause the gun not to fire?,,1,Glymour,,,,,,,,,,,,,,,,,,,,,
safe_gun,T=1,F=0,Does pulling the trigger cause the gun not to fire?,,0,Glymour,,,,,,,,,,,,,,,,,,,,,
deflected_bullet,A=1,H=1,Does A shooting cause the bullseye to be hit?,,1,Glymour,,,,1,Glymour p. 182,,,,,,,,,,,,,,,,
two_loaders,B=1,H=1,Does B pulling the trigger cause the bullseye to be hit?,,1,Glymour,,,,1,Glymour p. 182,,,,,,,,,,,,,,,,
two_loaders,Lb=1,H=1,Does B loading the gun cause the bullseye to be hit?,,1,Glymour,,,,1,Glymour p. 182,,,,,,,,,,,,,,,,
two_loaders,A=1,H=1,Does A pulling the trigger cause the bullseye to be hit?,,0,Glymour,,,,1,Glymour p. 182,,,,,,,,,,,,,,,,
thrombosis,B=1,T=1,Do the birth control pills cause the thrombosis?,,1,Glymour,,,,1,Glymour p. 182,,,,,,,,,,,,,,,,
